Canadian Pacific Hotels,253
CP Bygones,2
National Museum of Science and Technology,2
Hong Kong Tourist Association,1
"MacDonell, Roderick Andrew",2
"Richardson, Carrie Ingels",28
Fort William. Office of the Resident Engineer,1
"Morris, J.",1
Canada. Department of Railways and Canals,3
Scottish Immigrant Aid Society,3
"Valentine, J.S.",1
"McKell, James",1
"Holling, R.",1
Rosetti Studios,1
"Wand, Cecil B.",15
Campbell's Art Gallery,1
"Thompson, Stephen Joseph",4
"Rose, H.M.",2
Kodak Canada Inc.,1
Natural color productions,3
"Timms, Philip Thomas",11
"Reilly, J.J.",1
"Schramm, Mathieu",2
"Knight, Geo H.",1
Misses Mudge,1
Metcalf,1
"Beals, Henry Sherman",1
C. Bannister Limited,1
"Gold, Wilmer H.",1
"Baxter, J.H.",1
Topical Press Agency,17
"Watkins, Carleton",2
"Spooner, J. Pitcher",1
Thomas Houseworth & Co.,1
"Muybridge, Eadweard",1
"Kilburn, Benjamin West",3
"Hart, Alfred A.",1
"Slevin, L.",1
"Piltz, Stanley A.",3
"Lee, Jake",1
"Silbersten, Mervyn D.",2
"Weidner, Charles",2
"Sherriff, J.A.",1
"Bohm, Charles",1
Hodson,1
"Hamacher, Ephraim J.",2
Granada Studio,1
Baoguang Photography,1
Pokwong,1
Campbell Studio,5
Wand Studio,5
Ying Ming Studio,1
Krass studio,1
Bauzong Studio,1
"White, J.",1
Bailey Brothers Company,3
Chevrons studio,1
Loo Shaw Studio,1
Alma Photographic Studio,1
"Wai, W.H.",2
Carleton Photo,2
Wadds Brothers,4
"Ward, H.D.",1
"Davidson, I.G.",1
"Palmer, Alfred T.",1
"Bates, Philip S.",1
"Washburn, W.W.",1
"Nelson, C. A.",1
"Haynes, Frank Jay",1
"Fong, Get",1
Brown,5
Johnson Studio,3
"Tichner, J.",2
Weston Studio,1
"Chung, Wallace B.",40
"Butler, E.P.",2
May's Photo,1
"McAlpin, Arthur B. and Lamb, Charles",1
Wolfe Photo,2
Sloan,1
Sai Wo Studio,1
"Hong, L.B.",6
Wong B. Kwai Studio,2
W. H. Wills Studio,1
Story Photo Company,1
"Lowe, Skene",2
Bidwell Studio,1
"Rutter, Thomas H.",1
"Sun, L.H.",1
"Taylor, J.M.",1
May's Studio,2
"Frank, Leonard",12
"White, H.E.",1
"[Bailey, Charles S.]",1
William Notman and Son Photography,18
Associated Screen News Limited,760
"Hodge, Jack R.",18
"Case, William Howard",1
"Borchers, Louis",2
W. Ralston Limited,1
"Atkins, W.",4
Jack Cash Photographic Studios,4
"Simpson, George N.Y.",1
"Wrathall, Jack",1
"Fleming Brothers (Victoria, B.C.)",1
"Ramsey, Carolyn",2
W. and G. Baird Limited,1
Kennedy Photographer,8
Canadian Army Photo,1
"Climo, Halifax",1
National Defense Photograph Canada,1
W.&D. Downey,1
Bedford Lemere and Co. architectural photographers,18
"Sport & General Press Agency, Ltd.",1
Willson Stationery,1
"Davies, John",1
"Maynard, R.",9
Steele and Company,3
"Turner, Robert",5
"Lindsay, Jack",1
Graphic Industries,2
"Wadds, George T.",2
"Thomson, Stuart",11
R.H. Trueman & Co.,10
Bourne & May Ltd.,7
Underwood & Underwood Incorporated,3
"Forde, Jno",4
"Cooke, J.F.",5
"Forde, John",2
"Thom, A.B.",32
"Williams, David M.",1
Keystone View Company,3
Trueman & Caple,1
"Bale, Stewart",5
Canadian Pacific Steamship Company,212
Knights Limited,3
"Pinnington, Bernard",1
H. Shorey & Company,1
"Notman, William",21
"Adamson, James",2
"Elkan, Karl Heinz",8
Mayo and Weed,1
"Cochrane, Fredrick E.",6
Taber Studio,4
"Ttaber, I.W.",1
"Fiske, George",25
"Johnson, C.W.",6
Thom Studio,12
"Larson, T.N.",1
"Ing, Douglas",24
"Robinson, Captain Samuel",74
Glasgow Bulletin,11
Daily Mail,11
Central News,2
Mowell & Morrison,1
Wide World Photography,6
London News Agency,5
Jen Jen Studio,2
"Franklin, Benjamin",572
"Frank, Edward",1
Gordon Photos,1
"Douglas, L.D.",1
"Kinney, Katherine Olivia",252
"Ryan, Jim",10
"Singh, S.",2
Hastings Photo,1
Lovick Studio,2
Winter and Pond Company,1
Hardinges,1
Boorne,2
May,2
"Campau, Dubarry",1
"Rodgers, John",1
"Stein, Alva D., Jr.",1
"Ford, Basil",1
Native Sons of British Columbia,2
Coffee Dan's Sandwich Shop,1
Government of Canada. Department of Immigration and Colonization. Chinese Immigration Service.,1
Government of Canada,22
Yip Sang Company,963
"Murchie, Archibald",1
British Columbia. Justice of the Peace.,2
"Urquhart, H.A.",3
Chinese Nationalist League of Canada,6
"Yip, Gim",1
British Columbia. Legislative Assembly,17
"Dick, Archibald.",1
Cumming Brothers,1
[Hudson ?],1
"Knight, H.U.",2
"Finley, W.B.",1
Imperial Art Studio,1
"Chapman, J. Howard A.",2
Gowen Sutton Company,1
"Ko, C.Y.",1
"Topley, William James",4
Bradley & Rulofson,1
"Horetzky, Charles",3
King Studio,2
"Kopas, Clifford R.",1
Missionary Society Church of England in Canada,1
White Canada Crusade,4
Mrs. Pearson's Blue Bird Inn,1
Banfield Black & Banfield Ltd.,1
British Columbia Coast Vegetable Marketing Board,1
"Pratt, F.D.",1
Chinese Produce Peddlers' Association,5
"Yip, Quene",12
Chinese Peddlers' Association of Vancouver,1
"Keefer, G.A.",1
"Sing, Sam",2
"Lee, Joe",1
"Millard, C.",1
"King, William Lyon Mackenzie",1
British Columbia. Vancouver Magistrate.,1
"Ekman, Elmer",1
British Columbia. New Westminster Magistrate.,1
"Yip, Victoria",1
"Fong, Roy",1
"Kan, Thomas",2
Mon Fa Printers,2
"McGreer, G.G.",2
Mayor's Office of Vancouver,1
Chinese District Jubilee Queen Committee,1
Chinese Jubilee Trust Fund,1
Vancouver Centre Conservative Association,1
Chinese Tennis Club,1
"Neilsen, Hedlay",1
Chinese Public School in Victoria,2
"Chinese Youth Association of Victoria, B.C.",1
"Don, Wong",1
"British Columbia. Office of Registrar, Births, Deaths, and Marraiges.",1
United States Public Health Service,1
"Xu, Chang Cai",1
Kam Yen Jan Co. Ltd.,1
"Lie, Jan",1
"Chee, Kang Jong",1
Young China Association,1
"Yipp, Fred",1
"Kwong, On Wo",1
"Wright, R.A.",1
New Republic,2
Canadian Pacific Telegraph,7
Yee Lun Co.,3
Huatai Co.,1
"Wiley, Alice Ann",1
Plum Blossom,1
Wo Fat & Co.,1
"Wong, Wa Yew",1
Wing Sang Lung and Company,1
Golden Dragon (Restaurant),2
Sun Peking Chinese Chop Suey House,1
Mandarin Garden Cabaret,1
W.K. Gardens,1
Lin Shing Co.,1
Yee Lun Ark Kee Limited,6
Kwong Man Sang Co.,1
"Lee, Kepment",1
"Lee, Kee",1
"Johnson, W.H.",2
City of North Vancouver,1
Chinese Public School in Vancouver,5
New Westminster Chinese Patriotic Society,1
Hong Kong Wong Clan Association,1
Chinese Canadian Club,1
"Tsun, Shui",1
"Hong, Hing So",1
British Columbia Packers Association,9
"Wong, Bing",5
"Sung, Quong",4
"Sung, Yick",4
Anglo-British Columbia Packing Company,5
"Chung, Nye",3
"Sung, Ham",2
"British Columbia Fishing & Packing Co., Ltd.",1
"Thomas, C.",1
Cheekungtong (Chinese Freemasons),30
Union Steamships Limited,1
Canadian Fishing Company,1
The Western Canada Wholesale Co. Ltd.,1
Suey Sang Chong Co.,1
Wong Chong and Company,1
Sun Chung Wah Company,1
Ying Chong Lung Company,1
W.K. Oriental Gardens,1
Rickshaw Chinese Food,1
Keefer Florist Company,1
