,0
409,North Staffordshire Pottery Company
410,Minton
411,Minton
412,Minton
413,Minton
414,Minton
415,Minton
416,Minton
417,Minton
418,Minton
419,Minton
420,Minton
421,Minton
422,North Staffordshire Pottery Company
423,North Staffordshire Pottery Company
424,Minton
425,Minton
426,Minton
427,Minton
428,Minton
429,Minton
430,Minton
431,W.H. Grindley and Company
432,W.H. Grindley and Company
433,W.H. Grindley and Company
434,W.H. Grindley and Company
435,W.H. Grindley and Company
436,W.H. Grindley and Company
437,W.H. Grindley and Company
438,W.H. Grindley and Company
439,W.H. Grindley and Company
440,W.H. Grindley and Company
441,W.H. Grindley and Company
442,W.H. Grindley and Company
443,W.H. Grindley and Company
444,W.H. Grindley and Company
445,W.H. Grindley and Company
446,W.H. Grindley and Company
447,W.H. Grindley and Company
448,W.H. Grindley and Company
449,W.H. Grindley and Company
450,W.H. Grindley and Company
451,Limoges
452,Limoges
453,Limoges
454,W.H. Grindley and Company
455,W.H. Grindley and Company
456,W.H. Grindley and Company
457,W.T. Copeland
458,W.T. Copeland
459,W.H. Grindley and Company
460,W.H. Grindley and Company
461,John Maddock and Sons
462,W.H. Grindley and Company
463,John Maddock and Sons
464,W.H. Grindley and Company
465,Sovereign Potters
466,John Maddock and Sons
467,W.H. Grindley and Company
468,W.H. Grindley and Company
469,John Maddock and Sons
470,Syracuse China Corporation
471,Syracuse China Corporation
472,Syracuse China Corporation
473,Hall China Company
474,Medalta
475,Syracuse China Corporation
476,Hall China Company
477,Radfords
478,Hammersley & Co. Bone China
479,Crown Staffordshire Porcelain Co. Ltd.
480,Hall China Company
481,Minton
482,Minton
483,Minton
484,Minton
485,John Maddock and Sons
486,John Maddock and Sons
487,John Maddock and Sons
488,John Maddock and Sons
489,John Maddock and Sons
490,W.H. Grindley and Company
491,W.H. Grindley and Company
492,W.H. Grindley and Company
493,Williamson's
494,Ridgway Potteries
495,Ridgway Potteries
496,Ridgway Potteries
497,Crown Staffordshire Porcelain Co. Ltd.
498,Radfords
499,Minton
500,Radfords
501,W.H. Grindley and Company
502,John Maddock and Sons
503,John Maddock and Sons
504,W.H. Grindley and Company
505,Sovereign Potters
506,Minton
507,Sovereign Potters
508,Minton
509,Mappin and Webb
510,W.H. Grindley and Company
511,W.H. Grindley and Company
512,Royal Worcester
513,Limoges
514,W.H. Grindley and Company
515,John Maddock and Sons
516,John Maddock and Sons
517,W.H. Grindley and Company
518,W.H. Grindley and Company
519,[unknown]
520,W.H. Grindley and Company
521,John Maddock and Sons
522,John Maddock and Sons
523,[unknown]
524,[unknown]
525,[unknown]
526,[unknown]
527,Rosenthal
528,John Maddock and Sons
529,John Maddock and Sons
530,John Maddock and Sons
531,Alfred Meakin
532,[unknown]
533,[unknown]
534,[unknown]
535,[unknown]
540,[unknown]
541,[unknown]
542,[unknown]
543,[unknown]
593,[unknown]
594,[unknown]
595,[unknown]
596,[unknown]
597,W.H. Grindley and Company
598,W.T. Copeland
599,Herbert Bushell and Son
600,Elkington and Company
601,Elkington and Company
602,Elkington and Company
603,Elkington and Company
625,Canadian Pacific Limited
626,Canadian Pacific Railway Company
627,Canadian Pacific Railway Company
914,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
915,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
916,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
917,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
918,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
919,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
920,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1100,Yucho Chow Studio
1101,[unknown]
1102,White Studio
1103,[unknown]
544,[unknown]
545,[unknown]
546,[unknown]
547,[unknown]
548,[unknown]
549,[unknown]
550,[unknown]
551,[unknown]
552,[unknown]
553,[unknown]
554,[unknown]
555,[unknown]
556,[unknown]
557,[unknown]
558,Empress Manufacturing Company
559,[unknown]
560,[unknown]
561,Wing Sang Company
562,Wing Sang Company
563,[unknown]
564,[unknown]
565,[unknown]
566,"Crawford, Lawrence"
567,Yip Sang (Family)
568,[unknown]
569,[unknown]
570,"De Laval, John"
571,[unknown]
572,Wing Sang Company
573,"Mitchell-Foley, Ltd"
574,[unknown]
575,[unknown]
576,[unknown]
577,[unknown]
578,[unknown]
579,F.G. Clover Co.
580,[unknown]
581,[unknown]
582,[unknown]
583,[unknown]
584,[unknown]
585,[unknown]
586,[unknown]
587,[unknown]
588,[unknown]
589,Camay
590,[unknown]
591,Proctor & Gamble
592,[unknown]
604,[unknown]
605,[unknown]
606,Wing Sang Company
607,[unknown]
608,[unknown]
609,[unknown]
610,[unknown]
611,[unknown]
612,[unknown]
613,"Canadian Pacific Railway Company. British Columbia Coast Steamship Service|Crawford, Lawrence"
614,"Canadian Pacific Railway Company. British Columbia Coast Steamship Service|Crawford, Lawrence"
615,"Eddy Match Company (Quebec, Canada)|Crawford, Lawrence"
616,"Eddy Match Company (Quebec, Canada)|Crawford, Lawrence"
617,"Eddy Match Company (Quebec, Canada)|Crawford, Lawrence"
618,"Crawford, Lawrence"
619,"Crawford, Lawrence"
620,"De Laval, John"
621,"Crawford, Lawrence"
622,[unknown]
623,Canadian Pacific Limited
624,[unknown]
628,Canadian Pacific Railway Company
629,Canadian Pacific Railway Company
630,Kessler Productions
631,Deisgners Three Incorporated
632,[unknown]
633,E.T. Wright & Company
636,Canadian Pacific Railway Company
637,Hiram L. Piper Company
638,Canadian Pacific Railway Company
639,Canadian Pacific Railway Company
640,nan
641,Canadian Pacific Railway Company
642,Canadian Pacific Railway Company
643,Canadian Pacific Railway Company
644,Canadian Pacific Railway Company
646,"Bryson, James"
647,Hiram L. Piper Company
648,CP Air
649,Canadian Pacific Railway Company
650,Canadian Pacific Railway Company
651,British Columbia Coast Steamships
652,[unknown]
653,Political Activities of the Chinese
654,[unknown]
655,[unknown]
656,[unknown]
657,[unknown]
658,[unknown]
659,[unknown]
660,[unknown]
661,[unknown]
662,[unknown]
663,[unknown]
664,[unknown]
665,[unknown]
666,[unknown]
667,[unknown]
668,[unknown]
669,[unknown]
670,[unknown]
671,[unknown]
672,Wing Sang Company
673,Office Specialty Manufacturing Company
674,B. I. and H. Company
675,[unknown]
676,Wing Sang Company
677,Fairfield Shipbuilding and Engineering Company
678,"Muir, Jessie"
679,[unknown]
680,Seth Thomas Clock Company
681,[unknown]
682,[unknown]
683,[unknown]
685,A. Fleming and Company
686,Limoges
687,Limoges
688,Limoges
689,Canadian Pacific Railway Company
690,[unknown]
691,[unknown]
692,[unknown]
693,[unknown]
694,Mappin and Webb
695,Mappin and Webb
696,Birks
697,Elkington and Company
698,International Silver Company of Canada
699,Elkington and Company
700,Elkington and Company
701,Mappin and Webb
702,Mappin and Webb
703,Elkington and Company
704,Tress London Hats
705,[unknown]
706,[unknown]
707,Canadian Pacific Steamships Ocean Services Limited
708,[unknown]
709,[unknown]
710,[unknown]
711,[unknown]
712,[unknown]
713,[unknown]
714,[unknown]
715,[unknown]
716,[unknown]
717,[unknown]
718,[unknown]
719,[unknown]
720,[unknown]
721,[unknown]
722,"Crawford, Lawrence"
723,Canadian Pacific Steamships Ocean Services Limited
724,J.C. Deagan Musical Bells
725,John Maddock and Sons
726,John Maddock and Sons
727,W.H. Grindley and Company
728,John Maddock and Sons
729,John Maddock and Sons
730,John Maddock and Sons
731,John Maddock and Sons
732,W.H. Grindley and Company
733,John Maddock and Sons
734,W.H. Grindley and Company
735,W.H. Grindley and Company
736,W.H. Grindley and Company
737,W.H. Grindley and Company
738,North Staffordshire Pottery Company
739,North Staffordshire Pottery Company
740,Minton
741,Minton
742,Elkington and Company
743,[unknown]
744,Mappin and Webb
745,[unknown]
746,Elkington and Company
747,Elkington and Company
748,Elkington and Company
749,Elkington and Company
750,[unknown]
751,Morton-Parke
752,Morton-Parke
753,Elkington and Company
754,[unknown]
755,[unknown]
756,[unknown]
757,[unknown]
758,[unknown]
759,[unknown]
760,[unknown]
761,[unknown]
762,[unknown]
763,[unknown]
764,[unknown]
765,[unknown]
766,[unknown]
767,[unknown]
768,[unknown]
769,[unknown]
770,[unknown]
771,[unknown]
772,[unknown]
773,[unknown]
774,[unknown]
775,[unknown]
776,W.H. Grindley and Company
777,W.H. Grindley and Company
778,W.H. Grindley and Company
779,W.H. Grindley and Company
780,[unknown]
781,Elkington and Company
782,[unknown]
783,"Yip, Randall"
784,"Yip, Randall"
785,"Yip, Randall"
786,"Yip, Randall|Canadian Broadcasting Corporation"
787,"Yip, Randall|Mar, Ramona"
788,"Yip, Randall"
789,"Yip, Randall"
790,"Yip, Randall"
791,"Yip, Randall|Canadian Broadcasting Corporation"
792,"Yip, Randall|Canadian Broadcasting Corporation"
793,"Orr Marples, James"
794,British Columbia. Lieutenant-Governor. (Francis 1881-1887)
795,"Wilkinson, Norman"
796,[unknown]
797,"Mason, Frank M."
798,"Dixon, Charles"
799,[unknown]
800,[unknown]
801,Canadian Illustrated News
802,[unknown]
803,"Phillips, W.J."
804,"Wilkinson, Norman"
805,[unknown]
806,[unknown]
807,[unknown]
808,"Rosenvinge, Odin"
809,Poole Bros. Chicago.
810,"Hardcastle, J.H."
811,[unknown]
812,"Richmond, Leonard"
813,[unknown]
814,"Tavis, G.H."
815,"Kitzig, W."
816,"Pansing, Fred"
817,"Ewart, Peter"
818,[unknown]
819,"Arbuckle, Franklin"
820,[unknown]
821,[unknown]
822,[unknown]
823,[unknown]
824,[unknown]
825,[unknown]
826,[unknown]
827,"Wilkinson, Norman"
828,"Kelly, J.D."
829,"Richmond, Leonard"
830,"Wilkinson, Norman"
831,"Dixon, Charles"
832,[unknown]
833,"Rosenvinge, Odin"
834,[unknown]
835,"Pansing, Fred"
836,"Bonestell, Chesley"
837,"Wilkinson, Norman"
838,"Hilder, A.H."
839,[unknown]
840,"Wilkinson, Norman"
841,Canadian Pacific Railway Company
842,"Logan, Maurice"
843,[unknown]
844,"Wilkinson, Norman"
845,[unknown]
846,[unknown]
847,[unknown]
848,[unknown]
849,Canadian Pacific Railway Company
850,[unknown]
851,"Wilkinson, Norman"
852,"Wilkinson, Norman"
853,"Wilkinson, Norman"
854,"Armington, Frank M."
855,"Dixon, Charles"
856,"Kelly, J.D."
857,"Fraser, Norman"
858,Canadian Pacific Railway Company
859,[unknown]
860,[unknown]
861,[unknown]
862,[unknown]
863,"Hilder, A.H."
864,"Morant, Nicholas"
865,[unknown]
866,[unknown]
867,[unknown]
868,"Gordon, F."
869,[unknown]
870,"Alavoine, David"
871,[unknown]
872,"Hilder, A.H."
873,Paterson|W.B.
874,Paterson
875,"Armington, Frank M."
876,"Pansing, Fred"
878,"Warren, Ray"
879,"Warren, Ray"
880,"Wilkinson, Norman"
881,"Kitzig, W."
882,Chinese United Growers' Association
883,Chinese United Growers' Association
884,[unknown]
885,Chinese Workers Protective Association
886,Consulate of the Republic of China
887,"Quon, Long"
888,Lum Ting
889,Canada
890,Nan Young Hong Association
891,Chinese Student's Association
892,[unknown]
893,New China Publishing Co.
894,Vancouver Evening Sun
895,[unknown]
896,Government of Canada. Department of the Secretary of State of Canada.
897,Sing Tao Daily|Globe and Mail|Vancouver Sun
898,Chinese Cultural Centre of Vancouver
899,Sing Tao Daily
900,United Chinese Community Enrichment Services Society
901,Sing Tao Daily|Christian Info News
902,"Chinese Benevolent Association (Vancouver, B.C.)"
903,"Yip, Susan|Chinese Nationalist League"
904,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
905,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
906,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
907,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
908,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
909,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
910,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
911,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
912,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
913,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
921,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
922,Great Britain. Admiralty
923,Mundy Maps Co.
924,Mundy Maps Co.
925,[unknown]
926,[unknown]
927,[unknown]
928,[unknown]
929,[unknown]
930,[unknown]
931,[unknown]
932,[unknown]
933,[unknown]
934,[unknown]
935,[unknown]
936,[unknown]
937,[unknown]
938,Provincial Planning Board
939,Provincial Planning Board
940,[unknown]
941,[unknown]
942,[unknown]
943,[unknown]
944,[unknown]
945,Canadian Pacific Railway Company
946,Office of the Surveyor General
947,"Stanford, Edward"
948,"Yip, Randall"
949,"Crawford, Lawrence"
950,"Crawford, Lawrence"
951,"Crawford, Lawrence"
952,Burrard Dry Dock Company Limited
953,Yarrows Limited
954,Fairfield Shipbuilding and Engineering Company
955,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
956,Canadian Pacific Limited
957,Royal Naval Reserve
958,Canadian Pacific Limited
959,Canadian Pacific Limited
960,Canadian Pacific Limited
961,Canadian Pacific Limited|CP Ships
962,"Canadian Pacific Limited|Art Crafts Guild|Colling, L.J."
963,Canadian Pacific Limited
964,Canadian Pacific Steamships Ocean Services Limited
965,Canadian Pacific Railway Company
966,Canadian Pacific Limited
967,Canadian Pacific Limited
968,Canadian Pacific Railway Company
969,Canadian Pacific Steamships Ocean Services Limited
970,Canadian Pacific Steamships Ocean Services Limited
971,Canadian Pacific Limited|Canadian Pacific Steamships Ocean Services Limited
972,Canadian Pacific Limited
973,Canadian Pacific Limited
974,Canadian Pacific Limited
975,Canadian Pacific Steamships Ocean Services Limited
976,Canadian Pacific Steamships Ocean Services Limited
977,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
978,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
979,Canadian Pacific Limited
980,Canadian Pacific Limited
981,Canadian Pacific Limited
982,Canadian Pacific Limited
983,Canadian Pacific Limited
984,Canadian Pacific Limited
985,Canadian Pacific Steamships Ocean Services Limited
986,Hamburg-American Line
987,Canadian Pacific Steamships Ocean Services Limited
988,Canadian Pacific Steamships Ocean Services Limited
989,Canadian Pacific Steamships Ocean Services Limited
990,Canadian Pacific Limited
991,Canadian Pacific Steamships Ocean Services Limited
992,Canadian Pacific Steamships Ocean Services Limited
993,Canadian Pacific Limited
994,Canadian Pacific Steamships Ocean Services Limited
995,Canadian Pacific Railway Company
996,Canadian Pacific Limited|The French Line
997,Canadian Pacific Limited
998,Canadian Pacific Limited
999,Canadian Pacific Limited
1000,Vancouver Maritime Museum
1001,"Jenner, Paul"
1002,Canadian Pacific Railway Company
1003,Canadian Pacific Railway Company
1004,Canadian Pacific Railway Company
1005,Canadian Pacific Steamships Ocean Services Limited
1006,Marine Design Associates
1007,Canadian Pacific Railway Company
1008,Canadian Pacific Railway Company
1009,Canadian Pacific Railway Company
1010,Vanity Fair
1011,"Prior, Melton"
1012,"Barclay, J."
1013,"Fraser, John A."
1014,"M.,J."
1015,[unknown]
1016,"Prior, Melton"
1017,[unknown]
1018,[unknown]
1019,"Prior, Melton"
1020,Bullen & Lamb
1021,Canadian Pacific Limited
1022,Canadian Pacific Limited
1023,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1024,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1025,Alaska Steamship Company
1026,[unknown]
1027,"Bannard, John L."
1028,Canadian Pacific Railway Company
1029,Canadian Pacific Railway Company
1030,Canadian Pacific Limited
1031,W.D. & H.O. Wills
1032,Canadian Pacific Limited
1033,Canadian Pacific Limited
1034,Allan Brothers & Company U.K. Limited
1035,Canadian Pacific Railway Company
1036,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1037,"Clarke, Anthony"
1038,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1039,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1040,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1041,Canadian Pacific Railway Company. British Columbia Coast Steamship Service
1042,"Kauffmann, G.Y."
1043,"Ward, Dudley"
1044,Canadian Pacific Steamships Ocean Services Limited
1045,"Erny, E."
1046,"Fraser, Norman"
1047,"Fraser, Norman"
1048,"King, Marcus"
1049,Canadian Pacific Steamships Ocean Services Limited
1050,"Stuerken, E.A."
1051,"Hughes, E.J."
1052,"Lynde, Peter"
1053,Canadian Pacific Limited
1054,"Fraser, Norman"
1055,Canadian Pacific Steamships Ocean Services Limited
1056,"Rosenvinge, Odin"
1057,Canadian Pacific Steamships Ocean Services Limited
1058,Canadian Pacific Limited
1059,Canadian Pacific Steamships Ocean Services Limited
1060,Canadian Pacific Steamships Ocean Services Limited
1061,"Finch, W. G."
1062,"Rodmell, Harry Hudson"
1063,"Staynes, Percy Angelo"
1064,"Mann, James S."
1065,"Gribble, Bernard"
1066,"Leighton, Alfred Crocker"
1067,Canadian Pacific Steamships Ocean Services Limited
1068,"Ritchie, Alick P.F."
1069,"Richmond, Leonard"
1070,"Dixon, Charles"
1071,Canadian Pacific Railway Company
1072,Canadian Pacific Railway Company
1073,"Leighton, Alfred Crocker"
1074,Canadian Pacific Limited
1075,Canadian Pacific Limited
1076,"Couillard, Roger"
1077,"Couillard, Roger"
1078,"Shoesmith, Kenneth"
1079,Canadian Pacific Limited
1080,"Shoesmith, Kenneth"
1081,Canadian Pacific Limited
1082,"Sherriff-Scott, Adam|Canadian Pacific Railway Company"
1083,"Langdon, Shepard and Company"
1084,"Beaven, Robert"
1085,[unknown]
1086,[unknown]
1087,[unknown]
1088,[unknown]
1089,[unknown]
1090,"Swales, G.O."
1091,"Meiser, J.A."
1092,[unknown]
1093,"Savard, A."
1094,[unknown]
1095,[unknown]
1096,[unknown]
1097,[unknown]
1098,[unknown]
1099,[unknown]
1104,[unknown]
1105,Unknown
1106,"Hudson, G.H.E."
1107,[unknown]
1108,"Schrüder, Robert"
1109,"Fraser, Norman"
1110,Canadian Pacific Limited
1111,Canadian Pacific Limited
1112,"Lamy, J."
1113,CP Ships
1114,Canadian Pacific Limited
1115,"Couillard, Roger"
1116,Canadian Pacific Limited
1117,"Beck, S.E."
1118,"Wilkinson, Norman"
1119,"Loney, Don"
1120,Canadian Pacific Railway Company
1121,CP Rail
1122,"Gillespie, Gordon Fraser"
1123,"Ewart, Peter"
1124,Canadian Pacific Limited
1125,Canadian Pacific Limited
1126,Canadian Pacific Limited
1127,Canadian Pacific Limited
1128,Canadian Pacific Limited
1129,"Couillard, Roger"
1130,Canadian Pacific Limited
1131,Canadian Pacific Limited
1132,Canadian Pacific Limited
1133,Canadian Pacific Limited
1134,Canadian Pacific Limited
1135,Canadian Pacific Limited
1136,[unknown]
1137,"Jackson, Alexander Young"
1138,Canadian Pacific Railway Company
1139,Canadian Pacific Railway Company
1140,Canadian Pacific Limited
1141,Canadian Pacific Limited
1142,Canadian Pacific Limited
1143,"Crockart, James"
1144,CP Hotels
1145,Canadian Pacific Limited
1146,Canadian Pacific Limited
1259,[unknown]
1260,Canadian Pacific Navigation Company Limited
1261,Vancouver Island (Colony)
1310,J. Alf Dagenais Elite Studio
1311,Leong Ding Bong
1312,Marcel Photographic Reproductions
1461,"Moore, [Elbridge W.]"
1462,[unknown]
1463,[unknown]
1615,[unknown]
1616,[unknown]
1617,[unknown]
1618,[unknown]
1619,[unknown]
1620,nan
1621,nan
1622,"Lee, Bo Hong"
1662,"Jue, Frank"
1663,"Jue, Frank"
1664,"Jue, Frank"
1665,"Jue, Frank"
1666,"Jue, Frank"
1667,"Jue, Frank"
1668,"Jue, Frank"
