Old,New
"Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express and Station Employees","Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express and Station Employees"
"Brower, Dorothy E.","Brower, Dorothy E."
Brown,Brown
"Brown, Charles","Brown, Charles"
"Brown, Fred S.","Brown, Fred S."
"Browne, D. L.","Browne, D.L."
Brownell,Brownell Travel
"Bruc, Gertu M.","Bruc, Gertu M."
"Bruk, John","Bruk, John"
"Bryson, James","Bryson, James"
BSL,Birmingham Silver Plate Limited
"BSL, Mappin and Webb","British Silverware, Ltd.,  Mappin and Webb"
Bullen & Lamb,Bullen & Lamb
Burrard Dry Dock Company Limited,Burrard Dry Dock Company Limited
"Butler, E.P.","Butler, E.P."
C. Bannister Limited,C. Bannister Limited
C.A.P. Strasbourg,Compagnie Alsacienne des Arts Photomecaniques
C.P.R. Telegraph,Canadian Pacific Telegraph
C.W. Hunt & Co.,C.W. Hunt & Co.
California Restaurant,California Restaurant
Camay,Camay 
"Cameron, Allan","Cameron, Allan"
"Campau, Dubarry","Campau, Dubarry"
Campbell,Campbell Studio
"Campbell, Alexander","Campbell, Alexander"
"Campbell-Johnston, Amy E.C.","Campbell-Johnston, Amy E.C."
Campbell's Art Gallery,Campbell's Art Gallery
Canada,Canada
Canada Post,Canada Post
Canada. British Columbia. Department of Lands,Canada. British Columbia. Department of Lands
Canada. British Columbia. Provincial Secretary's Office,Canada. British Columbia. Provincial Secretary's Office
Canada. Department of Agriculture,Canada. Department of Agriculture
Canada. Department of Marine,Canada. Department of Marine
Canada. Department of Public Works,Canada. Department of Public Works
Canada. Department of Railways and Canals,Canada. Department of Railways and Canals
Canada. Department of the Interior. Immigration Branch. Controll,Canada. Department of the Interior. Immigration Branch. Controll
Canada. Department of Trade and Commerce. Dominion Bureau of Statistics. Transportation Branch,Canada. Department of Trade and Commerce. Dominion Bureau of Statistics. Transportation Branch
Canada. Governor General (1872-1878: Dufferin),Canada. Governor General (1872-1878: Dufferin)
Canada. Immigration Service,Canada. Immigration Service
Canada. Legislature. Legislative Assembly.,Canada. Legislature. Legislative Assembly
Canada. Ministry of Labour,Canada. Ministry of Labour
Canada. Parliament,Canada. Parliament
Canada. Privy Council,Canada. Privy Council
Canada. Royal Commissions,Canada. Royal Commissions
Canadian Airlines International Ltd.,Canadian Airlines International 
Canadian and Oriental Trading Company,Canadian and Oriental Trading Company
Canadian Army Photo,Canadian Army Photo
Canadian Australasian Line,Canadian Australasian Line
Canadian Australasian Royal Mail Line,Union Steam Ship Company of New Zealand Limited
Canadian Broadcasting Corporation,Canadian Broadcasting Corporation
Canadian Car & Foundry Company,Canadian Car and Foundry 
Canadian Department of Marine,Department of Marine and Fisheries
Canadian Grocer,Canadian Grocer
Canadian Illustrated News,Canadian Illustrated News
Canadian International Dragon Boat Festival,Canadian International Dragon Boat Festival
Canadian Labor Party,Canadian Labor Party
Canadian National Railway,Canadian National Railway Company
Canadian National Railway Company,Canadian National Railway Company
Canadian National Railway. Dining Car Service,Canadian National Railway Company
Canadian National Railways,Canadian National Railway Company
Canadian National Railways. Dining Car Service,Canadian National Railway Company
Canadian National Steamships,Canadian National Steamships
Canadian Pacific,Canadian Pacific Railway Company
Canadian Pacific Air,Canadian Pacific Air Lines
Canadian Pacific Air Lines,Canadian Pacific Air Lines
Canadian Pacific Airlines,Canadian Pacific Air Lines
Canadian Pacific Express,Canadian Pacific Express Company
Canadian Pacific Express Company,Canadian Pacific Express Company
Canadian Pacific Express Company. Pension Department,Canadian Pacific Express Company
Canadian Pacific Hotels,Canadian Pacific Hotels
Canadian Pacific Hotels & Resorts,Canadian Pacific Hotels
Canadian Pacific Hotels. Empress Hotel,Canadian Pacific Hotels
Canadian Pacific Irrigation Colonization Company,Canadian Pacific Irrigation Colonization Company
Canadian Pacific Limited,Canadian Pacific Limited
Canadian Pacific Limited. Atlantic Service,Canadian Pacific Limited
Canadian Pacific Limited. B.C. Coast Steamships,Canadian Pacific Limited
Canadian Pacific Limited. Baggage Department,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Australasian Line,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Hotels,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Hotels and Resorts,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Hotels. Chateau Lacombe,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Hotels. Royal York Hotel,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Hotels. The Empress Hotel,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Railway,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Railway. Dining Car Service,Canadian Pacific Limited
Canadian Pacific Limited. Canadian Pacific Steamship Lines,Canadian Pacific Limited
Canadian Pacific Limited. CP Air,Canadian Pacific Limited
Canadian Pacific Limited. CP Hotels,Canadian Pacific Limited
Canadian Pacific Limited. CP Rail,Canadian Pacific Limited
Canadian Pacific Limited. CP Rail. Transportation Department,Canadian Pacific Limited
Canadian Pacific Limited. CP Research. Vancouver Working Committee,Canadian Pacific Limited
Canadian Pacific Limited  ;  CP Ships,Canadian Pacific Limited
Canadian Pacific Limited. Credit Card Bureau,Canadian Pacific Limited
Canadian Pacific Limited. Dining Car Service,Canadian Pacific Limited
Canadian Pacific Limited. Empress Mail,Canadian Pacific Limited
Canadian Pacific Limited. Empress of Canada. Officer of the Watch,Canadian Pacific Limited
Canadian Pacific Limited. General Passenger Department,Canadian Pacific Limited
Canadian Pacific Limited. General Passenger Traffic Manager,Canadian Pacific Limited
Canadian Pacific Limited. Ocean Department,Canadian Pacific Limited
Canadian Pacific Limited. Ocean Traffic,Canadian Pacific Limited
Canadian Pacific Limited. Passenger Traffic Department,Canadian Pacific Limited
Canadian Pacific Limited. Public Relations & Advertising,Canadian Pacific Limited
Canadian Pacific Limited. S.S. Montrose. Sports and Entertainments Committee,Canadian Pacific Limited
Canadian Pacific Limited. Trans-Pacific Services,Canadian Pacific Limited
Canadian Pacific Navigation Company Limited,Canadian Pacific Navigation Company Limited
Canadian Pacific Ocean Services,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Ocean Services Limited,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Ocean Services Limited. Pacific Service,Canadian Pacific Steamships Ocean Services Limited
"Canadian Pacific Ocean Services, Limited. Trans-Pacific Lines",Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Ocean Services. Atlantic Service,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Ocean Services. Trans-Pacific Lines,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Photograph,Canadian Pacific Railway Company
Canadian Pacific Railway,Canadian Pacific Railway Company
Canadian Pacific Railway and Ocean Steamship Services,Canadian Pacific Railway Company
Canadian Pacific Railway and Steamship Line,Canadian Pacific Railway Company
Canadian Pacific Railway Company,Canadian Pacific Railway Company
Canadian Pacific Railway Company . B.C. Coast Steamship Service,British Columbia Coast Steamships
Canadian Pacific Railway Company Limited,Canadian Pacific Railway Company
Canadian Pacific Railway Company Limited. British Columbia Coast,Canadian Pacific Railway Company
Canadian Pacific Railway Company Limited. Department of Coloniza,Canadian Pacific Railway Company
Canadian Pacific Railway Company Limited. Dining Car Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company Limited. Pacific Division,Canadian Pacific Railway Company
Canadian Pacific Railway Company Limited. Western Division,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Alaska Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Alberta Division. First District,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Atlantic and Pacific Steamship Lines,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Atlantic Steamship Lines,Canadian Pacific Railway Company
Canadian Pacific Railway Company. B.C. Coast Steamship Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. B.C. Coast Steamships,Canadian Pacific Railway Company
Canadian Pacific Railway Company. British Columbia Coast Steamship Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. British Columbia Coast Steamship Service.,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Airlines. Public Relations,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotel Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Banff Springs Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Chateau Frontenac,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Chateau Lake Louise,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Emerald Lake Chalet,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Empress Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Hotel Saskatchewan,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Hotel Vancouver,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Lake Louise Chalet,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Lake O'Hara Bungalow Camp,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Lake O'Hara Lodge,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Lake Windermere Camp,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Le Château Champlain,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Le Chateau Frontenac,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Log Lodge,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Palliser Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Royal Alexandra Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. Royal York Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. The Algonquin Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Hotels. The Empress Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific News Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Ocean Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Resort Hotels,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Steamships,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Canadian Pacific Telegraph,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Car Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Central Division,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Colonization Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Communications Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. CP Hotels. The Palliser,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Department of Colonization and Development,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Department of Colonization and Development. Bureau of Canadian Information,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Department of Colonization and Development. Industrial Branch,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Department of Natural Resources,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Department of Natural Resources. Industrial Branch,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Department of Public Relations,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Department of Research.,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Development Branch,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Dining Car Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Eastern Lines,Canadian Pacific Railway Company
Canadian Pacific Railway Company. General Passenger Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Great Lake Steamship Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Great Lakes Steamships,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Hotel Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Hotel Department. Hotel Vancouver,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Hotel System,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Hotel System. Hotel Palliser,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Hotel System. Royal Alexandra Hotel,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Industrial Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Industrial Department. Western Lines,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Irrigation Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Irrigation Department. Alberta and B.C. Land Departments,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Land Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. London Agency,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Mechanical Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. News Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. News Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Office of the General Freight Traffic Manager,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Office of the General Manager,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Office of the Manager of Transportation,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Office of the Second Vice-President,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Pacific Steamship Lines,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Passenger Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Passenger Traffic Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Pension Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Prairie and Pacific Regions,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamers,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamship Line,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamship Line. Empress of India,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamship Line. Japan & China,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamship Lines,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamship Lines. Atlantic Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamship Lines. Pacific Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamship Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamships,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Royal Mail Steamships. Pacific Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Saskatchewan Division,Canadian Pacific Railway Company
"Canadian Pacific Railway Company. Sleeping, Dining and Parlor Car Department",Canadian Pacific Railway Company
"Canadian Pacific Railway Company. Sleeping, Dining and Parlor Cars and News Service",Canadian Pacific Railway Company
Canadian Pacific Railway Company. Social and Athletic Club,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Soo Pacific Express,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Steamship Lines. Trans-Pacific Service,Canadian Pacific Railway Company
Canadian Pacific Railway Company. The Mountaineer,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Traffic Department,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Travelling Auditor (Vancouver),Canadian Pacific Railway Company
Canadian Pacific Railway Company. Western Division,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Western Lines,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Western Lines Laboratory,Canadian Pacific Railway Company
Canadian Pacific Railway Company. Western Lines. Right of Way Lease Agent.,Canadian Pacific Railway Company
Canadian Pacific Railway. Canadian Pacific Hotels,Canadian Pacific Railway Company
Canadian Pacific Railway. Department of Colonization and Development,Canadian Pacific Railway Company
Canadian Pacific Railway. Department of Natural Resources,Canadian Pacific Railway Company
Canadian Pacific Railway. Ocean Services. Royal Mail Steamships. Empress of Japan,Canadian Pacific Railway Company
Canadian Pacific Steamship Limited,Canadian Pacific Steamship Company
Canadian Pacific Steamship Lines,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships Limited,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships Limited. Atlantic Service,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships Limited. Empress of Britain,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships Limited. Pacific Service,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships Limited. Sales Department,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships Limited. Trans-Pacific Service,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Steamships Ltd.,Canadian Pacific Steamships Ocean Services Limited
Canadian Pacific Telegraphs,Canadian Pacific Telegraph
Canadian Pacific Tours,Canadian Pacific Railway Company
Canadian Pacific. CP Ships,Canadian Pacific Limited
Canadian Pacific. Public Relations & Advertising,Canadian Pacific Limited
Canadian Society of Civil Engineers,Canadian Society of Civil Engineers
Canadian Steel Chinese Grit (documentary film),National Executive Council of the Canadian Steel Chinese Grit Documentary 
Canadian-Australasian Line Limited,Canadian Australasian Line
Canadian-Australasian Steamship Line,Canadian Australasian Line
Canadian-Australian Steamship Line,Canadian Pacific Steamship Company
Capetown Municipality,Capetown Municipality
Carleton,Carleton Photo
Carnival Cruise Lines,Carnival Cruise Lines
Cavalier Tours Limited,Cavalier Tours Limited
Centennial Museum,Centennial Museum
Central News,Central News
"Chapleau, M.","Chapleau, M."
"Chapman, J. Howard A.","Chapman, J. Howard A."
"Charles Birchall & Sons, Ltd.",Charles Birchall and Sons 
Chateau Frontenac Company,Chateau Frontenac Company
"Chee, Kang Jong","Chee, Kang Jong"
"Chee, Own Kee","Chee, Own Kee"
Cheekungtong (Chinese Freemasons),Cheekungtong (Chinese Freemasons)
Chevrons studio,Chevrons studio
Chicago & Eastern Illinois Railroad. Traffic Department,Chicago and Eastern Illinois Railroad. Traffic Department. 
"Chicanot, E.L.","Chicanot, E.L."
Chief Buffalo Child Long Lance,Chief Buffalo Child Long Lance
Chinatown Historic Area Planning Committee,Chinatown Historic Area Planning Committee
Chinese Band of Portland,Chinese Band of Portland
Chinese Benevolent Association,"Chinese Benevolent Association (Vancouver, B.C.)"
Chinese Benevolent Association of Vancouver,"Chinese Benevolent Association (Vancouver, B.C.)"
Chinese Canadian Association,Chinese Canadian Association
Chinese Canadian Club,Chinese Canadian Club
Chinese Canadian Heritage Fund,Chinese Canadian Heritage Fund
Chinese Cultural Centre (Vancouver),Chinese Cultural Centre of Vancouver
Chinese Cultural Centre of Vancouver,Chinese Cultural Centre of Vancouver
Chinese Herb Co.,Chinese Herb Co.
Chinese Jubilee Trust Fund,Chinese Jubilee Trust Fund
Chinese Nationalist League of Canada,Chinese Nationalist League of Canada
Chinese Peddlers' Association of Vancouver,Chinese Peddlers' Association of Vancouver
Chinese Produce Peddlers' Association,Chinese Produce Peddlers' Association
Chinese Public School (Vancouver),Chinese Public School in Vancouver
Chinese Public School in Vancouver,Chinese Public School in Vancouver
Chinese Public School in Victoria,Chinese Public School in Victoria
Chinese Student's Association,Chinese Student's Association
Chinese United Growers' Association,Chinese United Growers' Association
Chinese Workers Protective Association,Chinese Workers Protective Association
"Chinese Youth Association of Victoria, B.C.","Chinese Youth Association of Victoria, B.C."
"Ching, Lee K.","Ching, Lee K."
"Choko, Marc H.","Choko, Marc H."
"Choy, Wayson","Choy, Wayson"
Christian Bell Porcelain Ltd.,Christian Bell Porcelain 
Christian Info News,Christian Info News
"Chung, Dr. W. B.","Chung, Wallace B."
"Chung, Nye","Chung, Nye"
"Chung, W. B.","Chung, Wallace B."
"Chung, Wallace B.","Chung, Wallace B."
City of Kelowna,City of Kelowna
City of North Vancouver,City of North Vancouver
City of Toronto,City of Toronto
City of Vancouver,City of Vancouver
Clandonald Settlers Association,Clandonald Settlers Association
"Clark, Annabella","Clark, Annabella"
"Clark, Frank C.","Clark, Frank C."
"Clarke, Anthony","Clarke, Anthony"
"Cleator, Iain G.M.","Cleator, Iain G.M."
Clifton-Ford Hotel,Clifton-Ford Hotel
"Climo, Halifax","Climo, Halifax"
"Cochrane, Fredrick E.","Cochrane, Fredrick E."
Coffee Dan's Sandwich Shop,Coffee Dan's Sandwich Shop
"Coleman, D. C.","Coleman, D.C."
Colibri Lighters Ltd,Colibri Lighters 
"Colling, L. J.","Colling, L.J."
Collingwoods,Collingwood China Ltd. 
Colony of the Island of Vancouver,Vancouver Island (Colony)
Columbia Transfer Company,Columbia Transfer Company
"Commission of Mathew Begbie, et al.",British Columbia. Lieutenant-Governor. (Francis 1881-1887)
Consulate of the Republic of China,Consulate of the Republic of China
"Cooke, F. H.","Cooke, F.H."
"Cooke, J. F.","Cooke, J.F."
"Coombe, Geo. B.",Canadian Pacific Railway Company
"Cooper, Fairman & Co.","Cooper, Fairman and Co. "
"Corgina, G.","Corgina, G."
"Cottrell, Geo. H.","Cottrell, George H."
"Couillard, Roger","Couillard, Roger"
"Courtney, George L.","Courtney, George L."
CP Air,CP Air
CP Bygones,CP Bygones
CP Hotels,CP Hotels
CP Rail,CP Rail
CP Rail. Ferry Services,CP Rail
CP Ships,CP Ships
CP Ships. Empress of Canada,CP Ships
